Ortholog	LFQ.intensity.p01	LFQ.intensity.p02	LFQ.intensity.p03	LFQ.intensity.p04	LFQ.intensity.p05	LFQ.intensity.p06	LFQ.intensity.p07	LFQ.intensity.p08	LFQ.intensity.p09	LFQ.intensity.p10	LFQ.intensity.p11	LFQ.intensity.p12	LFQ.intensity.p13	LFQ.intensity.p14	LFQ.intensity.p15
ENSG00000140939	0	337800	338710	332590	301430	382600	0	306980	473410	498360	577520	491910	378910	636890	0
ENSG00000140941	0	1074300	11068000	7176100	4565000	1876600	3972900	3350300	1769700	2162600	3033400	4046500	0	7272200	11878000
ENSG00000140945	0	0	0	0	0	0	0	0	0	0	0	1581600	0	1364300	0
ENSG00000140983	0	0	0	0	0	0	0	0	0	0	0	312410	0	0	0
ENSG00000140986	12067000	10334000	12535000	8999000	7254900	5405500	3344100	3622900	3381500	2289600	1445900	3124100	2300400	3432600	2295600
ENSG00000140988	15702000	14551000	15826000	13938000	11745000	11443000	12179000	10540000	9573200	9957400	6751400	8767700	6432200	7123700	8756100
ENSG00000140990	9540400	7348700	8829200	9075700	8814600	9938000	11339000	6869900	3630500	9249700	8278000	11177000	13023000	18699000	15661000
ENSG00000141012	1098700	1367600	1055700	1157200	929910	775290	832760	585930	0	0	0	633200	0	0	0
ENSG00000141030	0	0	0	1236600	1008500	0	620470	515470	665700	1188500	0	833220	1335900	1237700	1083700
ENSG00000141127	3042700	2817600	2348200	2121300	2854900	3351500	3551100	1752900	3059800	3440000	3402700	4208100	3218300	4380300	2796400
ENSG00000141252	708800	683420	711510	652690	661850	857260	698870	891940	1341200	776380	850240	803280	0	764810	0
ENSG00000141279	14380000	18292000	15619000	17371000	15944000	19000000	16441000	19543000	20852000	15050000	18205000	18115000	16028000	16430000	18003000
ENSG00000141338	3084100	3285800	2402700	2195900	3606900	3437400	3363500	3367800	2200700	2624800	2820200	2414600	1513700	2539300	1873800
ENSG00000141378	0	0	0	0	755520	0	0	0	0	0	0	0	0	0	0
ENSG00000141385	1537000	1094800	1543200	1479900	1688500	2515200	2961400	2390500	2209100	2230400	1926600	2951800	2939000	2451800	2321500
ENSG00000141458	0	0	0	0	0	720590	845570	0	0	485780	0	0	0	0	0
ENSG00000141504	0	684830	0	1028200	1044700	735920	0	1421500	991870	0	0	1264300	992910	0	0
ENSG00000141522	40867000	44828000	48768000	52107000	37705000	43801000	54672000	36934000	33314000	62998000	46547000	45892000	47390000	47786000	51001000
ENSG00000141543	862060	788040	873750	806190	767210	731640	0	951090	787560	831470	0	680390	449700	629880	641410
ENSG00000141556	1510300	2624100	1834800	1635500	2479400	1706900	1832500	2362300	1916400	2167900	1691200	1680800	2045300	1736100	2220100
ENSG00000141560	1573800	0	0	0	0	1088100	0	2359200	0	0	2073800	2517000	1925600	1488700	608210
ENSG00000141639	6884600	7613000	11169000	12309000	10325000	5726700	6929400	8086700	8688600	9306400	8517000	7511700	4491800	7528400	6983700
ENSG00000141756	648600	710390	631180	558680	0	0	0	437940	0	0	0	0	0	0	0
ENSG00000141959	3423100	3995600	3400900	4365900	1408100	2409700	3050900	2320500	2145400	4261900	3615600	2972800	2903600	2571400	2614000
ENSG00000141985	0	420160	0	0	0	0	0	0	0	0	0	0	393130	0	355510
ENSG00000142002	0	0	0	0	0	0	0	994280	0	0	0	0	0	0	0
ENSG00000142089	0	0	1032700	2588100	0	0	0	925320	0	0	0	0	0	0	0
ENSG00000142156	18242000	24369000	43877000	17537000	20585000	13032000	12468000	8233500	12506000	9375200	8032100	5354800	6647400	11290000	11682000
ENSG00000142168	49950000	51402000	57732000	68763000	55288000	70933000	69258000	80080000	74375000	68262000	136560000	108880000	82575000	68643000	97412000
ENSG00000142173	14321000	16886000	27555000	11141000	12787000	9641400	10338000	10519000	7647000	6699900	6076200	4511700	5063500	9070400	8866700
ENSG00000142192	2123900	2621800	3105600	2845900	2718600	2959600	2834800	3068200	3894800	2831200	2029000	2310500	1675600	2121900	0
ENSG00000142208	0	0	0	0	0	0	378250	0	0	410300	0	0	0	0	0
ENSG00000142230	1007000	1071200	739070	584770	613770	587190	629630	651630	566430	842120	0	412250	419560	0	0
ENSG00000142347	2589500	1818300	3249100	2190900	1886500	1347600	982470	781260	1625500	956080	0	0	0	0	0
ENSG00000142444	388190	558830	0	561150	587180	0	648970	525210	622610	854860	1029400	0	793670	978380	682640
ENSG00000142453	0	0	0	435390	0	0	333100	0	0	374480	0	0	0	0	0
ENSG00000142507	0	4368400	4170800	5301800	4081000	0	0	4921800	5212000	5832900	6636200	6364800	4513700	0	7336800
ENSG00000142534	21041000	20966000	17173000	18685000	16346000	14902000	14052000	19298000	17045000	12602000	10934000	14976000	11061000	0	12136000
ENSG00000142541	8419300	6007200	7274900	8526300	2920400	4591500	0	4283400	6231100	4149200	4466300	4728500	3224000	2859300	3588700
ENSG00000142552	0	0	709730	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142634	7397400	9644500	6058100	4049100	9261100	6704400	7226600	6015800	5769400	7590700	9542900	9693000	7688600	9136400	7232800
ENSG00000142669	6648700	5808800	13138000	9154400	8382800	15504000	7469800	5754600	8255400	11079000	9110100	6439300	9429800	5680300	3466500
ENSG00000142676	7371200	10445000	9791200	9900800	0	9676500	11066000	11742000	12215000	6190200	7894600	8217200	5460300	0	5435400
ENSG00000142875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1033700
ENSG00000142892	1000500	1101000	744640	836890	839820	803000	0	841320	0	0	0	0	0	0	0
ENSG00000142937	15272000	11273000	14429000	11191000	16961000	13262000	15320000	14087000	11458000	9638500	6257100	8094400	7251300	9790400	8119900
ENSG00000142945	1186500	1655500	1515600	1495200	1499800	2543500	2647100	3066400	2301100	2731100	3565400	3451000	2413100	3091700	2586800
ENSG00000143153	30419000	26251000	25949000	35038000	47854000	50911000	51673000	49951000	55116000	44885000	68876000	69686000	76277000	57959000	67615000
ENSG00000143155	0	0	0	0	0	1144100	1082900	1164500	1071900	0	1173300	0	0	0	1143700
ENSG00000143158	2443300	3617500	7090800	5459600	3161600	7608100	7493800	9479100	6221100	5367500	8588500	6545000	8870300	6690100	12846000
ENSG00000143183	888640	1005200	0	0	784850	0	0	0	0	0	0	0	0	0	0
ENSG00000143198	0	2033200	2600500	0	0	9881900	0	0	0	1633900	1557700	0	4339600	0	3014800
ENSG00000143222	0	0	0	1335500	0	0	0	3329300	0	3002900	0	5101300	3552300	5035200	0
ENSG00000143252	4268100	3772800	1807300	4140200	3310100	3607700	2740700	5864300	4078100	3522500	6026700	6167600	7147600	5323100	8479600
ENSG00000143256	3782900	3725400	3792400	4526600	3084900	4193500	4568400	4271300	5288600	0	3279100	5514100	4610800	4902600	4686100
ENSG00000143320	2880100	1442200	2937700	0	1359100	763510	0	0	0	0	0	0	983700	577010	0
ENSG00000143337	0	413560	499060	467930	0	314960	424480	382000	435740	0	0	0	436960	0	0
ENSG00000143363	0	579900	0	0	545700	478560	508280	482050	588140	519020	609780	608530	563340	899600	645510
ENSG00000143376	0	0	0	0	0	0	0	0	598940	0	0	0	0	0	0
ENSG00000143401	0	0	980800	0	0	0	841090	774460	759080	1125700	0	693930	523820	0	0
ENSG00000143546	0	3960200	5346100	3185500	3019600	0	0	0	0	0	0	0	0	0	0
ENSG00000143549	54831000	54050000	58906000	51127000	57103000	47424000	53110000	42090000	51102000	48646000	38897000	41066000	39104000	41327000	41205000
ENSG00000143569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203260
ENSG00000143627	110380000	103100000	103650000	110780000	128650000	122960000	114410000	127800000	128920000	123160000	122950000	99028000	126000000	117860000	116850000
ENSG00000143632	28229000	40369000	80343000	37608000	38457000	11096000	26676000	12631000	27854000	9907700	13639000	19008000	5826200	5364500	12949000
ENSG00000143653	3558200	3366900	3387000	3734100	3059600	1558200	2239300	3388100	1706700	3090500	2354500	3021100	2309500	3031100	3289900
ENSG00000143753	0	0	0	0	0	0	0	367790	0	0	0	0	0	0	0
ENSG00000143761	44142000	39953000	48699000	41084000	43941000	51609000	40882000	51474000	40226000	49273000	54055000	48011000	46861000	46467000	37912000
ENSG00000143774	0	0	0	0	1750600	1457900	0	0	0	1748100	1689700	0	3773500	3961700	0
ENSG00000143799	0	0	325040	284430	0	0	0	233380	0	353080	0	0	0	0	0
ENSG00000143811	0	0	1171700	0	0	1529000	1218700	979300	0	0	797980	1371500	1068700	728810	1565400
ENSG00000143819	133000	318040	656840	395360	202760	249070	0	0	0	0	0	191240	0	0	0
ENSG00000143862	15880000	14230000	14544000	17619000	12362000	14148000	17161000	19087000	19147000	16467000	11168000	15412000	14133000	17534000	9669000
ENSG00000143878	10878000	11130000	9243200	9147200	8164600	10011000	8785000	9913000	10863000	16743000	13843000	16043000	13505000	12152000	10601000
ENSG00000143889	208890	0	223180	0	0	230650	0	318160	0	0	0	0	0	0	0
ENSG00000143891	1448000	906240	0	1597800	1335200	939720	1766200	1641800	1728000	1170400	0	1312200	2353400	765400	753340
ENSG00000143947	173540000	145950000	111810000	154120000	115380000	163380000	86242000	216640000	64010000	102200000	267330000	166790000	143190000	121170000	153650000
ENSG00000144028	2851100	3666800	2736700	3831300	2718500	1640100	2090200	1570500	0	1962800	1688700	1388300	1202400	1081100	1600000
ENSG00000144040	2435600	2057000	1862800	2496900	1941200	3482000	3536700	2904200	3336700	4829100	5418000	8105900	5521500	3040300	6243400
ENSG00000144115	0	311310	0	274190	301550	309560	343990	247740	0	0	274000	273500	0	299450	258200
ENSG00000144224	0	0	0	0	0	407300	0	0	0	0	0	0	0	0	0
ENSG00000144283	856970	1397600	590530	1339100	735000	1706900	2026000	1823300	2180500	1854400	1795200	3309700	1742100	1988600	1837600
