condition	level	type	time	species	strain	tissue	gene.name	accession	db	pmid	direction	technique	technique.subtype	ensembl
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Glutathione S-transferase, pi 2"	NP_036709	RefSeq	19119913	upregulated	proteomics	2-DE	ENSG00000084207
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Phosphatidylethanolamine binding protein 1	8393910	GI	19119913	upregulated	proteomics	2-DE	ENSG00000089220
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Crystallin, alpha B"	57580	GI	19119913	upregulated	proteomics	2-DE	ENSG00000134970
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Crystallin, alpha B"	57580	GI	19119913	upregulated	proteomics	2-DE	ENSG00000171357
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Crystallin, alpha B"	57580	GI	19119913	upregulated	proteomics	2-DE	ENSG00000109846
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Stathmin 1	8393696	GI	19119913	upregulated	proteomics	2-DE	ENSG00000117632
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Creatine kinase, mitochondrial 1, ubiquitous"	60678254	GI	19119913	upregulated	proteomics	2-DE	ENSG00000237289
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5	Q63362	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000128609
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Lamin A 	453180	GI	19119913	upregulated	proteomics	2-DE	ENSG00000160789
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Cyclic nucleotide phosphodiesterase 1	149054231	GI	19119913	upregulated	proteomics	2-DE	ENSG00000173786
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Glutamate-ammonia ligase	142349612	GI	19119913	upregulated	proteomics	2-DE	ENSG00000135821
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Fatty acid binding protein 5, epidermal"	1836058	GI	19119913	upregulated	proteomics	2-DE	ENSG00000164687
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Phosphoglycerate mutase 1	NP_445742	RefSeq	19119913	upregulated	proteomics	2-DE	ENSG00000171314
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Cytochrome c oxidase, subunit 5A"	P11240	UniProt	19119913	upregulated	proteomics	2-DE	ENSG00000178741
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Creatine kinase, brain"	NP_036661	RefSeq	19119913	upregulated	proteomics	2-DE	ENSG00000166165
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Pyruvate dehydrogenase (lipoamide) beta	56090293	GI	19119913	upregulated	proteomics	2-DE	ENSG00000168291
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Cysteine and glycine-rich protein 1	8393206	GI	19119913	upregulated	proteomics	2-DE	ENSG00000159176
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Catalase	6978607	GI	19119913	upregulated	proteomics	2-DE	ENSG00000121691
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	Stress-induced phosphoprotein 1	20302113	GI	19119913	upregulated	proteomics	2-DE	ENSG00000168439
spinal cord injury	T7	transection	8d	10116	Wistar	spinal cord;parenchyma	"Aconitase 2, mitochondrial"	40538860	GI	19119913	upregulated	proteomics	2-DE	ENSG00000100412
