filename	tissue	time	group
GSM1697959_091114-Rat230_2-09266D_KC2-90d.CEL	Caudal	90d	Tube
GSM1697958_091114-Rat230_2-09266D_KC1-90d.CEL	Caudal	90d	Tube
GSM1697957_091113-Rat230_2-09266D_KC3-60d.CEL	Caudal	60d	Tube
GSM1697956_091113-Rat230_2-09266D_KC2-60d.CEL	Caudal	60d	Tube
GSM1697955_091113-Rat230_2-09266D_KC1-60d.CEL	Caudal	60d	Tube
GSM1697954_090930-Rat230_2-09266C_kC3_30d.CEL	Caudal	30d	Tube
GSM1697953_090930-Rat230_2-09266C_kC2_30d.CEL	Caudal	30d	Tube
GSM1697952_090930-Rat230_2-09266C_kC1_30d.CEL	Caudal	30d	Tube
GSM1697951_090930-Rat230_2-09266C_kC3_20d.CEL	Caudal	20d	Tube
GSM1697950_090930-Rat230_2-09266C_kC2_20d.CEL	Caudal	20d	Tube
GSM1697949_090930-Rat230_2-09266C_kC1_20d.CEL	Caudal	20d	Tube
GSM1697948_090828-Rat230_2-09266B_kc3-10d.CEL	Caudal	10d	Tube
GSM1697947_090828-Rat230_2-09266B_kc2-10d.CEL	Caudal	10d	Tube
GSM1697946_090828-Rat230_2-09266B_kc1-10d.CEL	Caudal	10d	Tube
GSM1697945_090729-Rat230_2-09266A_kC3-3d.CEL	Caudal	03d	Tube
GSM1697944_090729-Rat230_2-09266A_kC2-3d.CEL	Caudal	03d	Tube
GSM1697943_090729-Rat230_2-09266A_kC1-3d.CEL	Caudal	03d	Tube
GSM1697942_090929-Rat230_2-09266C_kC3_1d.CEL	Caudal	01d	Tube
GSM1697941_090929-Rat230_2-09266C_kC2_1d.CEL	Caudal	01d	Tube
GSM1697940_090929-Rat230_2-09266C_kC1_1d.CEL	Caudal	01d	Tube
GSM1697939_091114-Rat230_2-09266D_dC3-90d.CEL	Caudal	90d	chitosan
GSM1697938_091114-Rat230_2-09266D_dC2-90d.CEL	Caudal	90d	chitosan
GSM1697937_091114-Rat230_2-09266D_dC1-90d.CEL	Caudal	90d	chitosan
GSM1697936_091114-Rat230_2-09266D_dC3-60d.CEL	Caudal	60d	chitosan
GSM1697935_091114-Rat230_2-09266D_dC2-60d.CEL	Caudal	60d	chitosan
GSM1697934_091114-Rat230_2-09266D_dC1-60d.CEL	Caudal	60d	chitosan
GSM1697933_090930-Rat230_2-09266C_dC3_30d.CEL	Caudal	30d	chitosan
GSM1697932_090930-Rat230_2-09266C_dC2_30d.CEL	Caudal	30d	chitosan
GSM1697931_090930-Rat230_2-09266C_dC1_30d.CEL	Caudal	30d	chitosan
GSM1697930_090929-Rat230_2-09266C_dC3_20d.CEL	Caudal	20d	chitosan
GSM1697929_090929-Rat230_2-09266C_dC2_20d.CEL	Caudal	20d	chitosan
GSM1697928_090929-Rat230_2-09266C_dC1_20d.CEL	Caudal	20d	chitosan
GSM1697927_090828-Rat230_2-09266B_dC3-10d.CEL	Caudal	10d	chitosan
GSM1697926_090828-Rat230_2-09266B_dC2-10d.CEL	Caudal	10d	chitosan
GSM1697925_090926-Rat230_2-09266C_dC3_3d.CEL	Caudal	03d	chitosan
GSM1697924_090926-Rat230_2-09266C_dC2_3d.CEL	Caudal	03d	chitosan
GSM1697923_090926-Rat230_2-09266C_dC1_3d.CEL	Caudal	03d	chitosan
GSM1697922_090729-Rat230_2-09266A_dC3-d.CEL	Caudal	01d	chitosan
GSM1697921_090729-Rat230_2-09266A_dC2-d.CEL	Caudal	01d	chitosan
GSM1697920_090729-Rat230_2-09266A_dC1-d.CEL	Caudal	01d	chitosan
GSM1697919_090828-Rat230_2-09266B_dC1-10d.CEL	Caudal	10d	chitosan
